nm_ue;sq_candidato;nm_urna_candidato;ds_sit_tot_turno
ANÁPOLIS;90000687807;ROBERTO NAVES;ELEITO
ANÁPOLIS;90000801738;ANTONIO GOMIDE;2º TURNO
ARACAJU;2,60001E+11;DELEGADA DANIELLE;2º TURNO
ARACAJU;2,60001E+11;EDVALDO;ELEITO
BAURU;2,50001E+11;SUÉLLEN ROSIM;ELEITO
BAURU;2,50001E+11;DR RAUL;2º TURNO
BELÉM;1,40001E+11;EDMILSON RODRIGUES;ELEITO
BELÉM;1,40001E+11;DELEGADO FEDERAL EGUCHI;2º TURNO
BLUMENAU;2,40001E+11;JOÃO PAULO KLEINUBING;2º TURNO
BLUMENAU;2,40001E+11;MÁRIO HILDEBRANDT;ELEITO
BOA VISTA;2,30001E+11;ARTHUR HENRIQUE;ELEITO
BOA VISTA;2,30001E+11;OTTACI;2º TURNO
CAMPINAS;2,50001E+11;DARIO SAADI;ELEITO
CAMPINAS;2,50001E+11;RAFA ZIMBALDI;2º TURNO
CAMPOS DOS GOYTACAZES;1,90001E+11;WLADIMIR GAROTINHO;ELEITO
CAMPOS DOS GOYTACAZES;1,90001E+11;CAIO VIANNA;2º TURNO
CANOAS;2,10001E+11;JAIRO JORGE;ELEITO
CANOAS;2,10001E+11;LUIZ CARLOS BUSATO;2º TURNO
CARIACICA;80000981710;EUCLERIO SAMPAIO;ELEITO
CARIACICA;80001001602;CELIA TAVARES;2º TURNO
CAUCAIA;60000718891;VITOR VALIM;ELEITO
CAUCAIA;60001074114;NAUMI AMORIM;2º TURNO
CAXIAS DO SUL;2,10001E+11;PEPE VARGAS;2º TURNO
CAXIAS DO SUL;2,10001E+11;ADILÓ;ELEITO
CONTAGEM;1,30001E+11;MARÍLIA;ELEITO
CONTAGEM;1,30001E+11;FELIPE SALIBA;2º TURNO
CUIABÁ;1,10001E+11;ABILIO;2º TURNO
CUIABÁ;1,10001E+11;EMANUEL PINHEIRO;ELEITO
DIADEMA;2,50001E+11;FILIPPI;ELEITO
DIADEMA;2,50001E+11;TAKA YAMAUCHI;2º TURNO
FEIRA DE SANTANA;50000732481;COLBERT MARTINS;ELEITO
FEIRA DE SANTANA;50000824378;ZÉ NETO;2º TURNO
FORTALEZA;60000653316;CAPITÃO WAGNER;2º TURNO
FORTALEZA;60000684211;SARTO;ELEITO
FRANCA;2,50001E+11;FLÁVIA LANCHA;2º TURNO
FRANCA;2,50001E+11;ALEXANDRE FERREIRA;ELEITO
GOIÂNIA;90001009823;MAGUITO VILELA;ELEITO
GOIÂNIA;90001220914;VANDERLAN CARDOSO;2º TURNO
GUARULHOS;2,50001E+11;ELÓI PIETÁ;2º TURNO
GUARULHOS;2,50001E+11;GUTI;ELEITO
JOÃO PESSOA;1,50001E+11;NILVAN FERREIRA;2º TURNO
JOÃO PESSOA;1,50001E+11;CICERO LUCENA;ELEITO
JOINVILLE;2,40001E+11;ADRIANO SILVA;ELEITO
JOINVILLE;2,40001E+11;DARCI DE MATOS;2º TURNO
JUIZ DE FORA;1,30001E+11;MARGARIDA SALOMÃO;ELEITO
JUIZ DE FORA;1,30001E+11;WILSON REZATO;2º TURNO
LIMEIRA;2,50001E+11;MARIO BOTION;ELEITO
LIMEIRA;2,50001E+11;MURILO FELIX;2º TURNO
MACAPÁ;30000676677;JOSIEL;2º TURNO
MACAPÁ;30000747583;DR FURLAN;ELEITO
MACEIÓ;20000774385;ALFREDO GASPAR DE MENDONÇA;2º TURNO
MACEIÓ;20000842791;JHC;ELEITO
MAUÁ;2,50001E+11;ATILA;2º TURNO
MAUÁ;2,50001E+11;MARCELO OLIVEIRA;ELEITO
MOGI DAS CRUZES;2,50001E+11;MARCUS MELO;2º TURNO
MOGI DAS CRUZES;2,50001E+11;CAIO CUNHA;ELEITO
PAULISTA;1,70001E+11;FRANCISCO PADILHA;2º TURNO
PAULISTA;1,70001E+11;YVES RIBEIRO;ELEITO
PELOTAS;2,10001E+11;IVAN DUARTE;2º TURNO
PELOTAS;2,10001E+11;PAULA MASCARENHAS;ELEITO
PETRÓPOLIS;1,90001E+11;BERNARDO ROSSI;2º TURNO
PIRACICABA;2,50001E+11;LUCIANO ALMEIDA;ELEITO
PONTA GROSSA;1,60001E+11;MABEL CANTO;2º TURNO
PONTA GROSSA;1,60001E+11;PROFESSORA ELIZABETH;ELEITO
PORTO ALEGRE;2,10001E+11;SEBASTIÃO MELO;ELEITO
PORTO ALEGRE;2,10001E+11;MANUELA;2º TURNO
PORTO VELHO;2,20001E+11;HILDON CHAVES;ELEITO
PORTO VELHO;2,20001E+11;CRISTIANE LOPES;2º TURNO
PRAIA GRANDE;2,50001E+11;RAQUEL CHINI;ELEITO
PRAIA GRANDE;2,50001E+11;DANILO MORGADO;2º TURNO
RIBEIRÃO PRETO;2,50001E+11;DUARTE NOGUEIRA;ELEITO
RIBEIRÃO PRETO;2,50001E+11;SUELY VILELA;2º TURNO
RIO BRANCO;10001003637;TIÃO BOCALOM;ELEITO
RIO BRANCO;10001154203;SOCORRO NERI;2º TURNO
RIO DE JANEIRO;1,90001E+11;CRIVELLA;2º TURNO
RIO DE JANEIRO;1,90001E+11;EDUARDO PAES;ELEITO
SANTA MARIA;2,10001E+11;SERGIO CECCHIN;2º TURNO
SANTA MARIA;2,10001E+11;POZZOBOM;ELEITO
SANTARÉM;1,40001E+11;NÉLIO AGUIAR;ELEITO
SANTARÉM;1,40001E+11;MARIA;2º TURNO
SÃO GONÇALO;1,90001E+11;CAPITÃO NELSON;ELEITO
SÃO GONÇALO;1,90001E+11;DIMAS GADELHA;2º TURNO
SÃO JOÃO DE MERITI;1,90001E+11;DR JOÃO;ELEITO
SÃO JOÃO DE MERITI;1,90001E+11;LEO VIEIRA;2º TURNO
SÃO LUÍS;1,00001E+11;EDUARDO BRAIDE;ELEITO
SÃO LUÍS;1,00001E+11;DUARTE;2º TURNO
SÃO PAULO;2,50001E+11;GUILHERME BOULOS;2º TURNO
SÃO PAULO;2,50001E+11;BRUNO COVAS;ELEITO
SÃO VICENTE;2,50001E+11;KAYO AMADO;ELEITO
SÃO VICENTE;2,50001E+11;SOLANGE FREITAS;2º TURNO
SERRA;80000841104;FABIO;2º TURNO
SERRA;80001189870;SERGIO VIDIGAL;ELEITO
SOROCABA;2,50001E+11;RODRIGO MANGA;ELEITO
SOROCABA;2,50001E+11;JAQUELINE COUTINHO;2º TURNO
TABOÃO DA SERRA;2,50001E+11;ENGENHEIRO DANIEL;2º TURNO
TABOÃO DA SERRA;2,50001E+11;APRIGIO;ELEITO
TAUBATÉ;2,50001E+11;LORENY;2º TURNO
TAUBATÉ;2,50001E+11;SAUD;ELEITO
TERESINA;1,80001E+11;KLEBER MONTEZUMA;2º TURNO
TERESINA;1,80001E+11;DR PESSOA;ELEITO
UBERABA;1,30001E+11;TONY CARLOS;2º TURNO
UBERABA;1,30001E+11;ELISA ARAÚJO;ELEITO
VILA VELHA;80000713125;ARNALDINHO BORGO;ELEITO
VILA VELHA;80001132231;MAX FILHO;2º TURNO
VITÓRIA;80001072803;JOAO COSER;2º TURNO
VITÓRIA;80001188308;DELEGADO PAZOLINI;ELEITO
VITÓRIA DA CONQUISTA;50000925547;HERZEM GUSMÃO;ELEITO
VITÓRIA DA CONQUISTA;50001198114;ZÉ RAIMUNDO;2º TURNO
